코드,lat,lon
1144070000,37.5592,126.90049
1144071000,37.56303,126.92154
1144072000,37.56198,126.91185
1144073000,37.56811,126.90204
1144074000,37.57068,126.88021
1144058500,37.53863,126.94903
1144065500,37.54681,126.92599
1144056500,37.54913,126.95787
1144055500,37.55193,126.95284
1147051000,37.52744,126.8751
1147052000,37.54359,126.8741
1147053000,37.5452,126.86541
1147054000,37.53544,126.8669
1147056000,37.53125,126.83453
1147057000,37.5234,126.84633
1147058000,37.53233,126.82748
1147059000,37.52225,126.83982
1147060000,37.54087,126.82942
1147061000,37.51597,126.84213
1147061100,37.51899,126.83061
1147062000,37.51888,126.85963
1147063000,37.51895,126.87518
1147064000,37.51147,126.84102
1147067000,37.51591,126.86964
1147068000,37.51012,126.86468
1147055000,37.53606,126.8799
1147065000,37.52541,126.85757
1150051000,37.55438,126.87176
1150052000,37.55586,126.85963
1150053000,37.54574,126.86003
1150053500,37.56105,126.84634
1150059000,37.54257,126.84816
1150055000,37.53228,126.85437
1150056000,37.54404,126.83428
1150057000,37.5361,126.85858
1150059100,37.55172,126.85117
1150059300,37.53422,126.84863
1150060300,37.57191,126.83498
1150060400,37.56702,126.85346
1150060500,37.5617,126.86094
1150061100,37.55056,126.82509
1150062000,37.55591,126.79485
1150063000,37.56862,126.81762
1150064000,37.58306,126.80395
1150064100,37.58218,126.8176
1150054000,37.53378,126.84094
1150061500,37.55057,126.84101
1153051000,37.50973,126.88285
1153052000,37.49303,126.87546
1153054000,37.48488,126.89498
1153055000,37.49154,126.8902
1153056000,37.50203,126.88848
1153072000,37.50066,126.8634
1153073000,37.50585,126.85331
1153075000,37.49273,126.85636
1153076000,37.48684,126.85241
1153077000,37.49696,126.84163
1153080000,37.48102,126.82448
1153079000,37.4985,126.8261
1153059500,37.48256,126.88826
1153053000,37.49745,126.87949
1153074000,37.49988,126.84988
1154551000,37.47684,126.88434
1154561000,37.4642,126.89272
1154562000,37.46383,126.90255
1154563000,37.47593,126.90459
1154564000,37.46922,126.90405
1154567000,37.45289,126.90015
1154568000,37.45059,126.92007
1154569000,37.44028,126.90593
1154570000,37.46008,126.90911
1154571000,37.44875,126.91243
1156054000,37.52866,126.92864
1156055000,37.52393,126.89685
1156056000,37.53372,126.90287
1156061000,37.52507,126.88707
1156062000,37.54349,126.89066
1156063000,37.51234,126.91951
1156065000,37.50645,126.90589
1156066000,37.50728,126.91292
1156067000,37.50112,126.90555
